preload_amp,ankle,knee,lift_height,steps,reason,left_clearance,right_clearance,left_air_steps,left_air_swing,left_air_return,left_air_streak,first_air_step,last_air_step,left_force_min,left_force_ratio,min_up_z,support_slip,max_root_ang_vel,final_x,final_y,final_x_velocity,final_y_velocity
0.17,0.045,0.0,0.008,480,y_position_limit,0.04042603547678089,0.009309905491785064,39,0,39,35,437,480,2.872798008942305,0.010040883779640741,0.9527942182431326,0.12512183601988439,0.9961147472802538,0.013928431376356491,-0.3028997944257939,0.02339549707621852,-0.6016590307563897
0.17,0.06,0.0,0.008,468,y_position_limit,0.02887509031335289,0.009166134804432235,33,1,32,31,414,468,0.0,0.0,0.9585987072795003,0.13467975297520807,0.9905446876411944,0.02858550019323849,-0.30062604014994165,0.048526122327762475,-0.6107672159021655
0.17,-0.09,-0.004,0.008,458,y_position_limit,0.02196492491666447,0.00910377264625932,35,6,29,27,310,458,0.0,0.0,0.9603579937072423,0.13449309565850318,0.977829297586972,-0.04211173905581565,-0.30615170461560265,-0.07783779444600687,-0.6240487418259502
0.17,-0.06,-0.004,0.008,483,y_position_limit,0.043155587897055855,0.009303259642600231,47,0,47,39,432,483,1.0601975861625603,0.003744812600960464,0.9519551358060906,0.13940121793563906,0.9833918902799722,-0.019474603820764234,-0.30079359552272383,-0.033164016969015005,-0.5924420014123173
0.17,0.045,-0.004,0.008,482,y_position_limit,0.04195946035900468,0.009281256432794031,39,0,39,39,444,482,3.0841473973858204,0.010754314111167779,0.9528821931220511,0.12947380142769535,0.9805544558545402,0.01211630907990432,-0.30017857007773474,0.019677659595870253,-0.5913754683090696
0.17,0.06,-0.004,0.008,468,y_position_limit,0.02910382580680751,0.00918490156831972,36,2,34,33,419,468,0.0,0.0,0.9581430293294927,0.12956697864671776,0.9961941266569861,0.026099664308461938,-0.30202582521343724,0.05272257018788652,-0.6136249297653671
0.17,-0.09,0.0,0.01,462,y_position_limit,0.024057944905672847,0.009069044010865362,38,6,32,26,418,462,0.0,0.0,0.9608208217863677,0.13728429400337996,0.973644369103933,-0.03764193926006292,-0.3015535341502595,-0.06414870210068184,-0.6100878945640142
0.17,-0.06,0.0,0.01,483,y_position_limit,0.0431804078116961,0.009302134886700078,47,2,45,39,409,483,0.0,0.0,0.9519959509757637,0.13814951717657376,0.9826374222801563,-0.017271602201684562,-0.3006836139585279,-0.03437399394801174,-0.5921844288145343
0.17,0.045,0.0,0.01,480,y_position_limit,0.04004248883452485,0.009267520885041673,37,0,37,36,440,480,4.817925016786527,0.0162696224456647,0.9537074040582408,0.12643730238620263,0.9859887844153152,0.012842934076808246,-0.3007335988254965,0.02330827705067728,-0.5944574469044445
0.17,0.06,0.0,0.01,465,y_position_limit,0.026723001662508197,0.009162390463989076,29,1,28,28,397,465,0.0,0.0,0.9590455960327375,0.1335457820075795,0.9922043923899558,0.02968467916532071,-0.3018162211558309,0.06301531044925865,-0.6180327963026705
